Sun May 12 21:06:57, NORTH ENTRY, 31.0 °C
Sun May 12 21:09:44, SOUTH ENTRY, 29.0 °C

Sun May 12 21:09:44, NORTH ENTRY, 29.0 °C

Sun May 12 21:09:44, EAST ENTRY, 29.0 °C

Sun May 12 21:09:44, WEST ENTRY, 29.0 °C

Sun May 12 21:09:44, SOUTH ENTRY, 29.0 °C

Sun May 12 21:09:46, NORTH ENTRY, 33.0 °C

Sun May 12 21:09:46, EAST ENTRY, 33.0 °C

Sun May 12 21:09:46, WEST ENTRY, 33.0 °C

Sun May 12 21:09:46, SOUTH ENTRY, 33.0 °C

Sun May 12 21:09:46, NORTH ENTRY, 33.0 °C

Sun May 12 21:09:46, EAST ENTRY, 33.0 °C

Sun May 12 21:09:46, WEST ENTRY, 33.0 °C

Sun May 12 21:09:46, SOUTH ENTRY, 33.0 °C

Sun May 12 21:09:48, NORTH ENTRY, 17.0 °C

Sun May 12 21:09:48, EAST ENTRY, 17.0 °C

Sun May 12 21:09:48, WEST ENTRY, 17.0 °C

Sun May 12 21:09:48, SOUTH ENTRY, 17.0 °C

Sun May 12 21:09:48, NORTH ENTRY, 17.0 °C

Sun May 12 21:09:48, EAST ENTRY, 17.0 °C

Sun May 12 21:09:48, WEST ENTRY, 17.0 °C

Sun May 12 21:09:48, SOUTH ENTRY, 17.0 °C

Sun May 12 21:09:50, NORTH ENTRY, 32.0 °C

Sun May 12 21:09:50, EAST ENTRY, 32.0 °C

Sun May 12 21:09:50, WEST ENTRY, 32.0 °C

Sun May 12 21:09:50, SOUTH ENTRY, 32.0 °C

Sun May 12 21:09:50, NORTH ENTRY, 32.0 °C

Sun May 12 21:09:50, EAST ENTRY, 32.0 °C

Sun May 12 21:09:50, WEST ENTRY, 32.0 °C

Sun May 12 21:09:50, SOUTH ENTRY, 32.0 °C

Sun May 12 21:09:52, NORTH ENTRY, 37.0 °C

Sun May 12 21:09:52, EAST ENTRY, 37.0 °C

Sun May 12 21:09:52, WEST ENTRY, 37.0 °C

Sun May 12 21:09:52, SOUTH ENTRY, 37.0 °C

Sun May 12 21:09:52, NORTH ENTRY, 37.0 °C

Sun May 12 21:09:52, EAST ENTRY, 37.0 °C

Sun May 12 21:09:52, WEST ENTRY, 37.0 °C

Sun May 12 21:09:52, SOUTH ENTRY, 37.0 °C

Sun May 12 21:09:54, NORTH ENTRY, 37.0 °C

Sun May 12 21:09:54, EAST ENTRY, 37.0 °C

Sun May 12 21:09:54, WEST ENTRY, 37.0 °C

Sun May 12 21:09:54, SOUTH ENTRY, 37.0 °C

Sun May 12 21:09:54, NORTH ENTRY, 37.0 °C

Sun May 12 21:09:54, EAST ENTRY, 37.0 °C

Sun May 12 21:09:54, WEST ENTRY, 37.0 °C

Sun May 12 21:09:54, SOUTH ENTRY, 37.0 °C

Sun May 12 21:09:56, NORTH ENTRY, 16.0 °C

Sun May 12 21:09:56, EAST ENTRY, 16.0 °C

Sun May 12 21:09:56, WEST ENTRY, 16.0 °C

Sun May 12 21:09:56, SOUTH ENTRY, 16.0 °C

Sun May 12 21:09:56, NORTH ENTRY, 16.0 °C

Sun May 12 21:09:56, EAST ENTRY, 16.0 °C

Sun May 12 21:09:56, WEST ENTRY, 16.0 °C

Sun May 12 21:09:56, SOUTH ENTRY, 16.0 °C

Sun May 12 21:09:58, NORTH ENTRY, 16.0 °C

Sun May 12 21:09:58, EAST ENTRY, 16.0 °C

Sun May 12 21:09:58, WEST ENTRY, 16.0 °C

Sun May 12 21:09:58, SOUTH ENTRY, 16.0 °C

Sun May 12 21:09:58, NORTH ENTRY, 16.0 °C

Sun May 12 21:09:58, EAST ENTRY, 16.0 °C

Sun May 12 21:09:58, WEST ENTRY, 16.0 °C

Sun May 12 21:09:58, SOUTH ENTRY, 16.0 °C

Sun May 12 21:10:00, NORTH ENTRY, 17.0 °C

Sun May 12 21:10:00, EAST ENTRY, 17.0 °C

Sun May 12 21:10:00, WEST ENTRY, 17.0 °C

Sun May 12 21:10:00, SOUTH ENTRY, 17.0 °C

Sun May 12 21:10:00, NORTH ENTRY, 17.0 °C

Sun May 12 21:10:00, EAST ENTRY, 17.0 °C

Sun May 12 21:10:00, WEST ENTRY, 17.0 °C

Sun May 12 21:10:00, SOUTH ENTRY, 17.0 °C

Sun May 12 21:10:02, NORTH ENTRY, 32.0 °C

Sun May 12 21:10:02, EAST ENTRY, 32.0 °C

Sun May 12 21:10:02, WEST ENTRY, 32.0 °C

Sun May 12 21:10:02, SOUTH ENTRY, 32.0 °C

Sun May 12 21:10:02, NORTH ENTRY, 32.0 °C

Sun May 12 21:10:02, EAST ENTRY, 32.0 °C

Sun May 12 21:10:02, WEST ENTRY, 32.0 °C

Sun May 12 21:10:02, SOUTH ENTRY, 32.0 °C

Sun May 12 21:10:04, NORTH ENTRY, 29.0 °C

Sun May 12 21:10:04, EAST ENTRY, 29.0 °C

Sun May 12 21:10:04, WEST ENTRY, 29.0 °C

Sun May 12 21:10:04, SOUTH ENTRY, 29.0 °C

Sun May 12 21:10:04, NORTH ENTRY, 29.0 °C

Sun May 12 21:10:04, EAST ENTRY, 29.0 °C

Sun May 12 21:10:04, WEST ENTRY, 29.0 °C

Sun May 12 21:10:04, SOUTH ENTRY, 29.0 °C

Sun May 12 21:10:06, NORTH ENTRY, 33.0 °C

Sun May 12 21:10:06, EAST ENTRY, 33.0 °C

Sun May 12 21:10:06, WEST ENTRY, 33.0 °C

Sun May 12 21:10:06, SOUTH ENTRY, 33.0 °C

Sun May 12 21:10:06, NORTH ENTRY, 33.0 °C

Sun May 12 21:10:06, EAST ENTRY, 33.0 °C

Sun May 12 21:10:06, WEST ENTRY, 33.0 °C

Sun May 12 21:10:06, SOUTH ENTRY, 33.0 °C

Sun May 12 21:10:08, NORTH ENTRY, 16.0 °C

Sun May 12 21:10:08, EAST ENTRY, 16.0 °C

Sun May 12 21:10:08, WEST ENTRY, 16.0 °C

Sun May 12 21:10:08, SOUTH ENTRY, 16.0 °C

Sun May 12 21:10:08, NORTH ENTRY, 16.0 °C

Sun May 12 21:10:08, EAST ENTRY, 16.0 °C

Sun May 12 21:10:08, WEST ENTRY, 16.0 °C

Sun May 12 21:10:08, SOUTH ENTRY, 16.0 °C

Sun May 12 21:10:10, NORTH ENTRY, 19.0 °C

Sun May 12 21:10:10, EAST ENTRY, 19.0 °C

Sun May 12 21:10:10, WEST ENTRY, 19.0 °C

Sun May 12 21:10:10, SOUTH ENTRY, 19.0 °C

Sun May 12 21:10:10, NORTH ENTRY, 19.0 °C

Sun May 12 21:10:10, EAST ENTRY, 19.0 °C

Sun May 12 21:10:10, WEST ENTRY, 19.0 °C

Sun May 12 21:10:10, SOUTH ENTRY, 19.0 °C

Sun May 12 21:10:12, NORTH ENTRY, 29.0 °C

Sun May 12 21:10:12, EAST ENTRY, 29.0 °C

Sun May 12 21:10:12, WEST ENTRY, 29.0 °C

Sun May 12 21:10:12, SOUTH ENTRY, 29.0 °C

Sun May 12 21:10:12, NORTH ENTRY, 29.0 °C

Sun May 12 21:10:12, EAST ENTRY, 29.0 °C

Sun May 12 21:10:12, WEST ENTRY, 29.0 °C

Sun May 12 21:10:12, SOUTH ENTRY, 29.0 °C

Sun May 12 21:10:14, NORTH ENTRY, 29.0 °C

Sun May 12 21:10:14, EAST ENTRY, 29.0 °C

Sun May 12 21:10:14, WEST ENTRY, 29.0 °C

Sun May 12 21:10:14, SOUTH ENTRY, 29.0 °C

Sun May 12 21:10:14, NORTH ENTRY, 29.0 °C

Sun May 12 21:10:14, EAST ENTRY, 29.0 °C

Sun May 12 21:10:14, WEST ENTRY, 29.0 °C

Sun May 12 21:10:14, SOUTH ENTRY, 29.0 °C

Sun May 12 21:10:16, NORTH ENTRY, 30.0 °C

Sun May 12 21:10:16, EAST ENTRY, 30.0 °C

Sun May 12 21:10:16, WEST ENTRY, 30.0 °C

Sun May 12 21:10:16, SOUTH ENTRY, 30.0 °C

Sun May 12 21:10:16, NORTH ENTRY, 30.0 °C

Sun May 12 21:10:16, EAST ENTRY, 30.0 °C

Sun May 12 21:10:16, WEST ENTRY, 30.0 °C

Sun May 12 21:10:16, SOUTH ENTRY, 30.0 °C

Sun May 12 21:10:18, NORTH ENTRY, 18.0 °C

Sun May 12 21:10:18, EAST ENTRY, 18.0 °C

Sun May 12 21:10:18, WEST ENTRY, 18.0 °C

Sun May 12 21:10:18, SOUTH ENTRY, 18.0 °C

Sun May 12 21:10:18, NORTH ENTRY, 18.0 °C

Sun May 12 21:10:18, EAST ENTRY, 18.0 °C

Sun May 12 21:10:18, WEST ENTRY, 18.0 °C

Sun May 12 21:10:18, SOUTH ENTRY, 18.0 °C

Sun May 12 21:10:20, NORTH ENTRY, 22.0 °C

Sun May 12 21:10:20, EAST ENTRY, 22.0 °C

Sun May 12 21:10:20, WEST ENTRY, 22.0 °C

Sun May 12 21:10:20, SOUTH ENTRY, 22.0 °C

Sun May 12 21:10:20, NORTH ENTRY, 22.0 °C

Sun May 12 21:10:20, EAST ENTRY, 22.0 °C

Sun May 12 21:10:20, WEST ENTRY, 22.0 °C

Sun May 12 21:10:20, SOUTH ENTRY, 22.0 °C

Sun May 12 21:10:22, NORTH ENTRY, 22.0 °C

Sun May 12 21:10:22, EAST ENTRY, 22.0 °C

Sun May 12 21:10:22, WEST ENTRY, 22.0 °C

Sun May 12 21:10:22, SOUTH ENTRY, 22.0 °C

Sun May 12 21:10:22, NORTH ENTRY, 22.0 °C

Sun May 12 21:10:22, EAST ENTRY, 22.0 °C

Sun May 12 21:10:22, WEST ENTRY, 22.0 °C

Sun May 12 21:10:22, SOUTH ENTRY, 22.0 °C

Sun May 12 21:10:24, NORTH ENTRY, 21.0 °C

Sun May 12 21:10:24, EAST ENTRY, 21.0 °C

Sun May 12 21:10:24, WEST ENTRY, 21.0 °C

Sun May 12 21:10:24, SOUTH ENTRY, 21.0 °C

Sun May 12 21:10:24, NORTH ENTRY, 21.0 °C

Sun May 12 21:10:24, EAST ENTRY, 21.0 °C

Sun May 12 21:10:24, WEST ENTRY, 21.0 °C

Sun May 12 21:10:24, SOUTH ENTRY, 21.0 °C

Sun May 12 21:10:26, NORTH ENTRY, 17.0 °C

Sun May 12 21:10:26, EAST ENTRY, 17.0 °C

Sun May 12 21:10:26, WEST ENTRY, 17.0 °C

Sun May 12 21:10:26, SOUTH ENTRY, 17.0 °C

Sun May 12 21:10:26, NORTH ENTRY, 17.0 °C

Sun May 12 21:10:26, EAST ENTRY, 17.0 °C

Sun May 12 21:10:26, WEST ENTRY, 17.0 °C

Sun May 12 21:10:26, SOUTH ENTRY, 17.0 °C

Sun May 12 21:10:28, NORTH ENTRY, 36.0 °C

Sun May 12 21:10:28, EAST ENTRY, 36.0 °C

Sun May 12 21:10:28, WEST ENTRY, 36.0 °C

Sun May 12 21:10:28, SOUTH ENTRY, 36.0 °C

Sun May 12 21:10:28, NORTH ENTRY, 36.0 °C

Sun May 12 21:10:28, EAST ENTRY, 36.0 °C

Sun May 12 21:10:28, WEST ENTRY, 36.0 °C

Sun May 12 21:10:28, SOUTH ENTRY, 36.0 °C

Sun May 12 21:10:30, NORTH ENTRY, 21.0 °C

Sun May 12 21:10:30, EAST ENTRY, 21.0 °C

Sun May 12 21:10:30, WEST ENTRY, 21.0 °C

Sun May 12 21:10:30, SOUTH ENTRY, 21.0 °C

Sun May 12 21:10:30, NORTH ENTRY, 21.0 °C

Sun May 12 21:10:30, EAST ENTRY, 21.0 °C

Sun May 12 21:10:30, WEST ENTRY, 21.0 °C

Sun May 12 21:10:30, SOUTH ENTRY, 21.0 °C

Sun May 12 21:10:32, NORTH ENTRY, 16.0 °C

Sun May 12 21:10:32, EAST ENTRY, 16.0 °C

Sun May 12 21:10:32, WEST ENTRY, 16.0 °C

Sun May 12 21:10:32, SOUTH ENTRY, 16.0 °C

Sun May 12 21:10:32, NORTH ENTRY, 16.0 °C

Sun May 12 21:10:32, EAST ENTRY, 16.0 °C

Sun May 12 21:10:32, WEST ENTRY, 16.0 °C

Sun May 12 21:10:32, SOUTH ENTRY, 16.0 °C

Sun May 12 21:10:34, NORTH ENTRY, 28.0 °C

Sun May 12 21:10:34, EAST ENTRY, 28.0 °C

Sun May 12 21:10:34, WEST ENTRY, 28.0 °C

Sun May 12 21:10:34, SOUTH ENTRY, 28.0 °C

Sun May 12 21:10:34, NORTH ENTRY, 28.0 °C

Sun May 12 21:10:34, EAST ENTRY, 28.0 °C

Sun May 12 21:10:34, WEST ENTRY, 28.0 °C

Sun May 12 21:10:34, SOUTH ENTRY, 28.0 °C

Sun May 12 21:10:36, NORTH ENTRY, 32.0 °C

Sun May 12 21:10:36, EAST ENTRY, 32.0 °C

Sun May 12 21:10:36, WEST ENTRY, 32.0 °C

Sun May 12 21:10:36, SOUTH ENTRY, 32.0 °C

Sun May 12 21:10:36, NORTH ENTRY, 32.0 °C

Sun May 12 21:10:36, EAST ENTRY, 32.0 °C

Sun May 12 21:10:36, WEST ENTRY, 32.0 °C

Sun May 12 21:10:36, SOUTH ENTRY, 32.0 °C

Sun May 12 21:10:38, NORTH ENTRY, 34.0 °C

Sun May 12 21:10:38, EAST ENTRY, 34.0 °C

Sun May 12 21:10:38, WEST ENTRY, 34.0 °C

Sun May 12 21:10:38, SOUTH ENTRY, 34.0 °C

Sun May 12 21:10:38, NORTH ENTRY, 34.0 °C

Sun May 12 21:10:38, EAST ENTRY, 34.0 °C

Sun May 12 21:10:38, WEST ENTRY, 34.0 °C

Sun May 12 21:10:38, SOUTH ENTRY, 34.0 °C
